verseID,verse-ar,verse-en,transliteration,Recommended use
3:53,رَبَّنَآ ءَامَنَّا بِمَآ أَنزَلۡتَ وَٱتَّبَعۡنَا ٱلرَّسُولَ فَٱكۡتُبۡنَا مَعَ ٱلشَّـٰهِدِينَ,"“Our Lord, we have believed in what You revealed and have followed the messenger [i.e., Jesus], so register us among the witnesses [to truth].”",Rabbanaaa aamannaa bimaaa anzalta wattaba’nar Rasoola faktubnaa ma’ash shaahideen,"Du’a of faith & worship, i.e. to register us among the witnesses to the truth. In the Qur’an we’re told of how Allah (swt) saved Isa (as) from the children of Israel who plotted against him: “[Mention] when Allah said, “O Jesus, indeed I will take you and raise you to Myself and purify [i.e., free] you from those who disbelieve” (3:55)"
3:147,رَبَّنَا ٱغْفِرْ لَنَا ذُنُوبَنَا وَإِسْرَافَنَا فِىٓ أَمْرِنَا وَثَبِّتْ أَقْدَامَنَا وَٱنصُرْنَا عَلَى ٱلْقَوْمِ ٱلْكَٰفِرِينَ,"“Our Lord, forgive us our sins and the excess [committed] in our affairs and plant firmly our feet and give us victory over the disbelieving people.”",Rabbanagh fir lanaa zunoobanaa wa israafanaa feee amrinaa wa sabbit aqdaamanaa wansurnaa ‘alal qawmil kaafireen,"Du’a for repentance, victory, and resiliency. To plant one’s feet firmly in the face of evil. In the following verse it says, “So Allah gave them the reward of this world and the good reward of the Hereafter. And Allah loves the doers of good.”"
3:191,رَبَّنَا مَا خَلَقْتَ هَٰذَا بَٰطِلًا سُبْحَٰنَكَ فَقِنَا عَذَابَ ٱلنَّارِ,"“Our Lord, You did not create this aimlessly; exalted are You [above such a thing]; then protect us from the punishment of the Fire.”",Rabbanaa maa khalaqta haaza baatilan Subhaanaka faqinaa ‘azaaban Naar,"Du’a praising Allah (swt) and asking for His protection from Jahannam (fire). If we take the time to look at the world, we see how complex yet organized all of Allah’s creations are. We can see nothing was created aimlessly. There’s a greater purpose in everyone one of his creations. This supplication is one of gratitude, shows your appreciation for the beauty in life. The du’a continues to ask Allah (swt) for protection on the day of judgment and that we be saved from the punishment of the fire."
3:192,رَبَّنَآ إِنَّكَ مَن تُدْخِلِ ٱلنَّارَ فَقَدْ أَخْزَيْتَهُۥ ۖ وَمَا لِلظَّٰلِمِينَ مِنْ أَنصَارٍ,"“Our Lord, indeed whoever You admit to the Fire – You have disgraced him, and for the wrongdoers there are no helpers.”",Rabbanaaa innaka man tudkhilin Naara faqad akhzai tahoo wa maa lizzaalimeena min ansaar,"We may not think a whole lot about where we originally came from but, at some point, we’ll begin to think about where we are headed. We’ll start to ponder the consequences of our actions. It’s an important study – the relationship between cause and effect. This supplication can be used as motivation to remind yourself of where you’re going because you know the fate of the wrongdoers."
3:193,رَّبَّنَآ إِنَّنَا سَمِعۡنَا مُنَادِيٗا يُنَادِي لِلۡإِيمَٰنِ أَنۡ ءَامِنُواْ بِرَبِّكُمۡ فَـَٔامَنَّاۚ,"“Our Lord, indeed we have heard a caller, calling to faith, [saying], ‘Believe in your Lord,’ and we have believed.”",Rabbanaaa innanaa sami’naa munaadiyai yunaadee lil eemaani an aaminoo bi Rabbikum fa aamannaa,"Du’a of humility, submission and faith. We have heard a caller (referring to Prophet Muhammad saws) and we have listened to his message and we believe."
3:193,رَبَّنَا فَٱغۡفِرۡ لَنَا ذُنُوبَنَا وَكَفِّرۡ عَنَّا سَيِّـَٔاتِنَا وَتَوَفَّنَا مَعَ ٱلۡأَبۡرَارِ,"“Our Lord, so forgive us our sins and remove from us our misdeeds and cause us to die among the righteous.”",Rabbanaa faghfir lanaa zunoobanaa wa kaffir ‘annaa saiyi aatina wa tawaffanaa ma’al abraar,"A du’a for repentance, washing away our misdeeds, and asking Alla (swt) to cause us to die guided on the right path. Narrated Ibn Abbas (ra): (One night) I stayed overnight in the house of my aunt Maimuna, and said to myself, “I will watch the prayer of Allah’s Messenger ( صلى الله عليه وسلم)” My aunt placed a cushion for Allah’s Messenger ( صلى الله عليه وسلم) and he slept on it in its length-wise direction and (woke-up) rubbing the traces of sleep off his face and then he recited the last ten Verses of Surah Imran till he finished it."
3:194,رَبَّنَا وَءَاتِنَا مَا وَعَدتَّنَا عَلَىٰ رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ ٱلْقِيَٰمَةِ ۗ إِنَّكَ لَا تُخْلِفُ ٱلْمِيعَادَ,"“Our Lord, and grant us what You promised us through Your messengers and do not disgrace us on the Day of Resurrection. Indeed, You do not fail in [Your] promise.”",Rabbanaa wa aatinaa maa wa’attanaa ‘alaa Rusulika wa laa tukhzinaa Yawmal Qiyaamah; innaka laa tukhliful mee’aad,"Du’a of humility, to be saved from being disgraced on the day of judgment. To a true believer, there is no doubt that Allah (swt) will indeed fulfill his promise. Rather this is a prayer to Allah (swt) asking to be worthy of his promise."
5:83,رَبَّنَآ ءَامَنَّا فَٱكْتُبْنَا مَعَ ٱلشَّٰهِدِينَ,"“Our Lord, we have believed, so register us among the witnesses.”",Rabbanaaa aamannaa faktubnaa ma’ash shaahideen,"A du’a for those who want to testify the truth and verbally affirm their belief in it. Any who is (so) grateful does so to the profit of his own soul: but if any is ungrateful, verily Allah is free of all wants, Worthy of all praise."
5:114,رَبَّنَآ أَنزِلْ عَلَيْنَا مَآئِدَةً مِّنَ ٱلسَّمَآءِ تَكُونُ لَنَا عِيدًا لِّأَوَّلِنَا وَءَاخِرِنَا وَءَايَةً مِّنكَ ۖ وَٱرْزُقْنَا وَأَنتَ خَيْرُ ٱلرَّٰزِقِينَ,"“O Allah, our Lord, send down to us a table [spread with food] from the heaven to be for us a festival for the first of us and the last of us and a sign from You. And provide for us, and You are the best of providers.”",Rabbanaaa anzil ‘alainaa maaa’idatam minas samaaa’i takoonu lanaa ‘eedal li awwalinaa wa aakhirinaa wa Aayatam minka warzuqnaa wa Anta khairur raaziqeen,"A du’a for provision. Provision is all encompassing term meaning to supply with food, money, or way to make a living. All good provisions come from Allah (swt), we turn to him and ask him to provide for us. This is a du’a Isa (Jesus) alayhis salaam recited asking for sufficient food for him and his followers. Allah (swt) replies in the following verse, “I am going to send it down to you; but whoever from you disbelieves after that, I shall give him a punishment I shall not give to anyone in the worlds.”"
7:23,رَبَّنَا ظَلَمْنَآ أَنفُسَنَا وَإِن لَّمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ ٱلْخَٰسِرِينَ,"“Our Lord, we have wronged ourselves, and if You do not forgive us and have mercy upon us, we will surely be among the losers.”",Rabbanaa zalamnaaa anfusanaa wa illam taghfir lanaa wa tarhamnaa lanakoonanna minal khaasireen,A du’a for repentance (tawbah). We can learn from how Adam (as) responded after he erred. Being able to admit your faults and to harbor guilt is a beautiful sign of our belief and dedication to Allah subhanahu wa ta’ala. We ask for his forgiveness and avoid repeating the same mistakes. This is the du’a Prophet Adam (as) recited after sinning in paradise.
7:47,رَبَّنَا لَا تَجۡعَلۡنَا مَعَ ٱلۡقَوۡمِ ٱلظَّـٰلِمِينَ,"“Our Lord, do not place us with the wrongdoing people.”",Rabbanaa laa taj’alnaa ma’al qawmiz zaalimeen,"We should know that we are the sum total of the people we associate with. Intellectually we may know that the fate of the wrongdoing people will not be pleasant one but, in our dayto- day life, we may be blind to this reality because it takes place inch by inch. Only when the end is shown do we realize the mistake in our judgment. Unfortunately, it’s too late by then. This du’a asks Allah to protect us from being a victim to that fate."
7:89,رَبَّنَا ٱفۡتَحۡ بَيۡنَنَا وَبَيۡنَ قَوۡمِنَا بِٱلۡحَقِّ وَأَنتَ خَيۡرُ ٱلۡفَٰتِحِينَ,"“Our Lord, decide between us and our people in truth, and You are the best of those who give decision.”",Rabbanaf-tah bainana wa baina qawmina bil haqqi wa anta Khairul Fatiheen,"Du’a of Prophet Suhaib (as). Prophet Suhaib (as) recited this du’a after facing heavy opposition from the eminent people of the city. They threatened to evict him from the city unless he fabricated a lie against Allah. His reply? “We would have invented against Allah a lie if we returned to your religion after Allah had saved us from it. And it is not for us to return to it except that Allah, our Lord, should will. Our Lord has encompassed all things in knowledge.” He then recited the Rabbana du’a above."
7:126,رَبَّنَآ أَفْرِغْ عَلَيْنَا صَبْرًا وَتَوَفَّنَا مُسْلِمِينَ,"“Our Lord, pour upon us patience and let us die as Muslims [in submission to You].”",Rabbanaaa afrigh ‘alainaa sabranw wa tawaffanaa muslimeen,"Du’a of Prophet Musa (as). Du’a for sabr (patience), perseverance, and a prayer requesting Allah to let us die righteously. This was recited after Firawn resorted to persecution and threatened Musa (as) after he threw his staff and established the truth among all those who disbelieved."
10:85,رَبَّنَا لَا تَجۡعَلۡنَا فِتۡنَةٗ لِّلۡقَوۡمِ ٱلظَّـٰلِمِينَ ; وَنَجِّنَا بِرَحۡمَتِكَ مِنَ ٱلۡقَوۡمِ ٱلۡكَٰفِرِينَ,"“Our Lord, make us not [objects of] trial for the wrongdoing people. And save us by Your mercy from the disbelieving people.”",85. Rabbana la taj’alna fitnatal lil-qawmidh-Dhalimeen ; 86. wa najjina bi- Rahmatika minal qawmil kafireen,This is a prayer the companions of Musa (as) recited asking for protection from evil and unjust people. It is a du’a for success and protection. It asks to not be made examples of by disbelieving people. They faced real persecution from the tyrannical Firawn and wanted to be a source of goodness in the world.
14:38,رَبَّنَآ إِنَّكَ تَعْلَمُ مَا نُخْفِى وَمَا نُعْلِنُ ۗ وَمَا يَخْفَىٰ عَلَى ٱللَّهِ مِن شَىْءٍۢ فِى ٱلْأَرْضِ وَلَا فِى ٱلسَّمَآءِ,"“Our Lord, indeed You know what we conceal and what we declare, and nothing is hidden from Allah on the earth or in the heaven.”",Rabbanaaa innaka ta’lamu maa nukhfee wa maa nu’lin; wa maa yakhfaa ‘alal laahi min shai’in fil ardi wa laa fis samaaa,"Du’a showing complete trust and reliance on Allah (swt). This du’a is a reminder that Allah is all knowing and all powerful. That nothing can be hidden from Allah (swt). He knows the intent behind our actions, whether they be sincere or disingenuous."
14:40,رَبِّ اجْعَلْنِي مُقِيمَ الصَّلَاةِ وَمِنْ ذُرِّيَّتِي ۚ رَبَّنَا وَتَقَبَّلْ دُعَآءِ‏,"“My Lord, make me an establisher of prayer, and [many] from my descendants. Our Lord, and accept my supplication.”",Rabbij ‘alnee muqeemas Salaati wa min zurriyyatee Rabbanaa wa taqabbal du’aaa,"Du’a of Prophet Ibrahim (as). Prophet Ibrahim (as) knows of the past communities and how they have erred. So, in this du’a, he asks Allah (swt) to make ourselves and the future generations good Muslims. More specifically, those who fulfill their second obligation of offering their daily prayer. The du’a concludes by asking Allah (swt) to hear and accept our supplication."
14:41,رَبَّنَا ٱغۡفِرۡ لِي وَلِوَٰلِدَيَّ وَلِلۡمُؤۡمِنِينَ يَوۡمَ يَقُومُ ٱلۡحِسَابُ,"“Our Lord, forgive me and my parents and the believers the Day the account is established.”",Rabbanagh fir lee wa liwaalidaiya wa lilmu’mineena Yawma yaqoomul hisaab,"Du’a of Prophet Ibrahim (as) Recommended use: Du’a asking Allah (swt) to forgive yourself and to forgive your parents. Abu Hurairah (ra) said, “The dead person can be raised a degree after his death. He said, ‘My Lord, how is this?’ He was told, ‘Your child can ask for forgiveness for you.'” (Al-Adab Al-Mufrad 36)"
18:10,رَبَّنَآ ءَتِنَا مِنْ لَدُنْكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا,"“Our Lord, grant us from Yourself mercy and prepare for us from our affair right guidance.”",Rabbanaaa aatinaa mil ladunka rahmatanw wa haiyi’ lanaa min amrinaa rashadaa,"Du’a seeking Allah’s (swt) approval, mercy, provision, and patience. This du’a is found in Surah Kahf (titled ‘the cave’) and was recited by the young men who fled their city fearing persecution for practicing their religion and found refuge in the cave. They turned to their creator asking for guidance in those tough times and their prayers were answered."
20:45,رَبَّنَآ إِنَّنَا نَخَافُ أَن يَفْرُطَ عَلَيْنَآ أَوْ أَن يَطْغَى,"“Our Lord, indeed we are afraid that he will hasten [punishment] against us or that he will transgress.”",Rabbanaaa innanaa nakhaafu ai yafruta ‘alainaaa aw ai yatghaa,"Du’a both Harun (as) and Musa (as) recited: It can be scary to stand up for what is right, to avoid being a bystander when we see injustice happening around us. It wasn’t easy either for Harun (as) and Musa (as) who feared Firawn and asked Allah for his help. Allah responded in the following verse, “Do not be afraid. I am surely with you both I hear and I see.”"
23:109,رَبَّنَآ ءَامَنَّا فَٱغۡفِرۡ لَنَا وَٱرۡحَمۡنَا وَأَنتَ خَيۡرُ ٱلرَّـٰحِمِينَ,"“Our Lord, we have believed, so forgive us and have mercy upon us, and You are the best of the merciful.”",Rabbanaaa aamannaa faghfir lanaa warhamnaa wa Anta khairur raahimeen,"Du’a asking for Allah’s mercy and calling upon by his rightful attribute of being Ar-Rahim meaning the most merciful. Other verses in the Qur’an claiming he is the most merciful are 7:151, 21:83, 23:118 12:64, and 12:92."
25:65,رَبَّنَا اصْرِفْ عَنَّا عَذَابَ جَهَنَّمَ إِنَّ عَذَابَهَا كَانَ غَرَامًا إِنَّهَا سَآءَتْ مُسْتَقَرًّا وَمُقَامًا,"“Our Lord, avert from us the punishment of Hell. Indeed, its punishment is ever adhering; Indeed, it is evil as a settlement and residence.”",65. Rabbanas rif ‘annnaa ‘azaaba Jahannama inn ‘azaabahaa kaana gharaamaa 66. Innahaa saaa’at mustaqarranw wa muqaamaa,Du’a reminding us of the evil residence that is hell. It asks Allah (swt) for our protection from Jahannam.
25:74,رَبَّنَا هَبۡ لَنَا مِنۡ أَزۡوَٰجِنَا وَذُرِّيَّـٰتِنَا قُرَّةَ أَعۡيُنٖ وَٱجۡعَلۡنَا لِلۡمُتَّقِينَ إِمَامًا,"“Our Lord, grant us from among our wives and offspring comfort to our eyes and make us a leader [i.e., example] for the righteous.”",Rabbanaa hab lanaa min azwaajinaa wa zurriyaatinaa qurrata a’yuninw waj ‘alnaa lilmuttaqeena Imaamaa,"qurrata ‘ayioni is an old Arabic expression meaning to bring ‘coolness to the eye’ particularly from spiritual perspective to bring calmness, joy, or happiness. Asking Allah (swt) to grant us “coolness of the eyes” among our wives and through our children and future generations. To gift us as being a good leader, a role model for the righteous."
35:34,رَبَّنَا لَغَفُورٌ شَكُورٌ,“Our Lord is Forgiving and Appreciative”,Rabbana la Ghafurun shakur,"The Qur’an mentions how this will be the type of du’a a believer would recite when they enter the Garden of Eden. They will praise Allah (swt) and thank him endlessly for being forgiving and appreciative. We are imperfect, we will do wrong and still Allah (swt) will forgive us and appreciate our efforts to do the little provision of deeds that we did in our lifetime. Little because we can never do enough to truly be deserving of the rewards in paradise. In this du’a it refer to Allah as Al-Ghafoor and Ash-Shakur two of His rightful names and attribute."
40:7,رَبَّنَا وَسِعۡتَ كُلَّ شَيۡءٖ رَّحۡمَةٗ وَعِلۡمٗا فَٱغۡفِرۡ لِلَّذِينَ تَابُواْ وَٱتَّبَعُواْ سَبِيلَكَ وَقِهِمۡ عَذَابَ ٱلۡجَحِيمِ,"“Our Lord, You have encompassed all things in mercy and knowledge, so forgive those who have repented and followed Your way and protect them from the punishment of Hellfire.”",Rabbanaa wasi’ta kulla shai’ir rahmatanw wa ‘ilman faghfir lillazeena taaboo wattaba’oo sabeelaka wa qihim ‘azaabal Jaheem,"Allah’s (swt) knowledge and his mercy know no limit, it is infinite. This du’a asks Allah (swt) to be merciful towards all those who believe and have sought istighfar (repentance) from their creator."
40:8,رَبَّنَا وَأَدۡخِلۡهُمۡ جَنَّـٰتِ عَدۡنٍ ٱلَّتِي وَعَدتَّهُمۡ وَمَن صَلَحَ مِنۡ ءَابَآئِهِمۡ وَأَزۡوَٰجِهِمۡ وَذُرِّيَّـٰتِهِمۡۚ إِنَّكَ أَنتَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ وَقِهِمُ ٱلسَّيِّـَٔاتِۚ وَمَن تَقِ ٱلسَّيِّـَٔاتِ يَوۡمَئِذٖ فَقَدۡ رَحِمۡتَهُۥۚ وَذَٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ,"“Our Lord, and admit them to gardens of perpetual residence which You have promised them and whoever was righteous among their forefathers, their spouses and their offspring. Indeed, it is You who is the Exalted in Might, the Wise. And protect them from the evil consequences [of their deeds]. And he whom You protect from evil consequences that Day – You will have given him mercy. And that is the great attainment.”","8. Rabbana wa adhkhilhum Jannati ‘adninil-lati wa’attahum wa man salaha min aba’ihim wa azwajihim wa dhuriyyatihim innaka antal ‘Azizul-Hakim, 9. waqihimus saiyi’at wa man taqis-saiyi’ati yawma’idhin faqad rahimatahu wa dhalika huwal fawzul-‘Adheem","A du’a asking to unite the believers with their descendants in Jannah (i.e., to be reunited with your forefathers, spouses, and children.) This du’a also calls upon Allah (swt) using his rightful attributes of being Al-Aziz (the mighty one) and Al-Hakeem (the wise one). The du’a concludes by asking for protection on the day of judgment and asks to receive his mercy which would be the best of all gifts."
59:10,رَبَّنَا اغْفِرْ لَنَا وَلِإِخْوَانِنَا الَّذِينَ سَبَقُونَا بِالْإِيمَانِ وَلَا تَجْعَلْ فِي قُلُوبِنَا غِلًّا لِّلَّذِينَ اٰمَنُوا,"“Our Lord, forgive us and our brothers who preceded us in faith and put not in our hearts [any] resentment toward those who have believed.”",Rabbanagh fir lanaa wa li ikhwaani nal lazeena sabqoonaa bil eemaani wa laa taj’al fee quloobinaa ghillalil lazeena aamanoo ,A du’a which reflects the attitude we should have for our fellow Muslim brothers and sisters. Those who “preceded us in faith” would refer to those who embraced Islam before the emigration from Makkah to Yathrib. Those who came after would be everyone who accepted Islam after the migration. This du’a is a reminder that we are one Ummah and we should not harbor resentment or hate towards one another. We must continue with love in our hearts for our community and to resist being envious towards any good Allah (swt) may have bestowed on another person.
59:10,رَبَّنَآ إِنَّكَ رَءُوفٞ رَّحِيمٌ,"“Our Lord, indeed You are Kind and Merciful.”",Rabbannaaa innaka Ra’oofur Raheem,"A du’a of praise using two of Allah’s rightful names and attributes. The first being Ar-Ra’uf meaning the benign one, the one who is extremely kind and compassionate. The second being Ar-Raheem meaning the most merciful, the one who acts with extreme kindness, bestowing mercy upon his creations."
60:4, رَّبَّنَا عَلَيۡكَ تَوَكَّلۡنَا وَإِلَيۡكَ أَنَبۡنَا وَإِلَيۡكَ ٱلۡمَصِيرُ,"“Our Lord, upon You we have relied, and to You we have returned, and to You is the destination.”",Rabbanaa ‘alaika tawakkalnaa wa ilaika anabnaa wa ilaikal maseer,"We must show complete trust and reliance in Allah (swt) for all matters. This du’a is one that affirms that we have relied on Him alone. Furthermore, it is also a prayer of remembrance that this life is only temporary. The final destination is when we return to Allah (swt)."
60:5,رَبَّنَا لَا تَجۡعَلۡنَا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ وَٱغۡفِرۡ لَنَا رَبَّنَآۖ إِنَّكَ أَنتَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ,"“Our Lord, make us not [objects of] torment for the disbelievers and forgive us, our Lord. Indeed, it is You who is the Exalted in Might, the Wise.”",Rabbana laa taj’alnaa fitnatal lillazeena kafaroo waghfir lanaa rabbanaaa innaka antal azeezul hakeem,"Du’a of Prophet Ibrahim (as): This is a du’a Prophet Ibrahim (as) recited asking to make the believers victorious over the disbelievers. To not make us “objects of torment” meaning if the disbelievers won, they would falsely assume what they followed was correct. They would question how Allah (swt) would allow his believers to lose. The du’a then continues referring to Allah (swt) as azeezul hakeem meaning the most powerful and wise."
66:8,رَبَّنَآ أَتۡمِمۡ لَنَا نُورَنَا وَٱغۡفِرۡ لَنَآۖ إِنَّكَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"“Our Lord, perfect for us our light and forgive us. Indeed, You are over all things competent.”",Rabbanaaa atmim lanaa nooranaa waghfir lana innaka ‘alaa kulli shai’in qadeer,"Another beautiful du’a asking for Jannah. We learn in Surah Al-Hadid verse 12 how on the day of judgment the believing men and women will have a light illuminating from their right hands. They will be told “a good tiding for you today.” The hypocrites will find themselves stumbling in darkness. This du’a asks Allah (swt) to perfect or to complete our light on that day and to forgive us our sins. Indeed, Allah (swt) is competent and powerful over all things."
